GeneID,pvalue,medDSSLS,meanDSSLS,sdDSSLS,bon.pvalue,fdr.pvalue
FBgn0030594,1.9827127811417e-51,0.38894301,0.327485610825688,0.832985595621845,2.02692727616116e-47,2.01265174413694e-47
FBgn0037513,1.83579252194489e-35,0.743561510000001,0.685880927958884,1.45004312708859,1.87673069518426e-31,9.31756494513127e-32
FBgn0036764,6.92662107272904e-32,0.0178340399999999,0.215840556230234,0.68375479890942,7.08108472265089e-28,2.34373768364241e-28
FBgn0085390,2.50891147150091e-24,0.0475757899999998,0.336821836263021,0.811010567844443,2.56486019731538e-20,6.36699008680143e-21
FBgn0035216,3.6477344075432e-24,0.0317395399999998,0.184637521144625,0.764100261092677,3.72907888483141e-20,7.4056303941942e-21
FBgn0027794,1.03472539612113e-20,0.12188012,0.193561474336996,0.762453427860883,1.05779977245463e-16,1.75058291600427e-17
FBgn0032535,3.85466051237331e-20,0.0400267400000001,0.133084938582555,0.951757943476103,3.94061944179924e-16,5.58980840872878e-17
FBgn0051546,5.08059928704802e-19,0.0875633199999999,0.259655868746667,0.791527392063104,5.19389665114919e-15,6.44664542035305e-16
FBgn0037970,1.77372678164637e-18,0.0377574700000001,0.145417341893147,0.667725517293382,1.81328088887708e-14,2.00056672894358e-15
FBgn0039601,2.51502447385332e-17,0.00217619000000013,-0.00779219993442624,0.14266752885627,2.57110951962025e-13,2.55300134340851e-14
FBgn0037689,1.14027454601729e-14,0.0176558499999999,-0.14185371985151,0.68555709124188,1.16570266839348e-10,1.05226608332923e-11
FBgn0040349,1.30399743986098e-14,0.0508509900000007,0.200151656613546,0.673905830906999,1.33307658276988e-10,1.10307316766907e-11
FBgn0028369,4.54306863942266e-14,0.00454215999999996,-0.129491664079218,0.614515402942612,4.64437907008178e-10,3.54743767375226e-11
FBgn0051111,1.34864822455078e-13,0.0685271600000004,0.253495733786982,0.702644904766012,1.37872307995826e-09,9.51223835539396e-11
FBgn0039612,1.40561102680435e-13,0.00327496000000016,0.0947390379501558,0.478653558851667,1.43695615270208e-09,9.51223835539396e-11
FBgn0003330,4.95579997309152e-12,0.00537476000000003,-0.105087808704663,0.556166682026214,5.06631431249146e-08,2.99472136734423e-09
FBgn0036486,5.01529536448152e-12,0.00590044000000001,-0.0118274638262411,0.175682765573935,5.12713645110946e-08,2.99472136734423e-09
FBgn0004171,5.83924085839001e-12,0.01765967,-0.0813621877560975,0.540562482394963,5.9694559295321e-08,3.29300744186205e-09
FBgn0261523,7.18885314261095e-11,0.810950289999999,0.455523216613757,0.893079588317716,7.34916456769117e-07,3.84073938161283e-08
FBgn0050293,1.17113328049513e-10,-0.0241840799999995,0.151882748184902,0.620160010309261,1.19724955265017e-06,5.94408696515304e-08
